Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-01-02,247.34966196417784,247.51859606258614,240.28481431614935,242.3019256591797,55740700,0.0,0.0
2025-01-03,241.81503295898438,242.62981931594805,240.3543640210219,241.81503295898438,40244100,0.0,0.0
2025-01-06,242.7589734384258,245.75980494056867,241.65601976736147,243.44459533691406,45045600,0.0,0.0
2025-01-07,241.4374487975533,243.9911405526811,239.81780708502322,240.67234802246094,40856000,0.0,0.0
2025-01-08,240.38417847646193,242.1628232218062,238.52605495049286,241.1592254638672,37628900,0.0,0.0
2025-01-10,238.48628640867517,238.63534322792128,231.52079498772144,235.3463592529297,61710900,0.0,0.0
2025-01-13,232.04743903723335,233.18020116738663,228.26162915914,232.9119110107422,49630700,0.0,0.0
2025-01-14,233.2596800887061,234.62097773623856,230.9941559742804,231.79901123046875,39435300,0.0,0.0
2025-01-15,233.1504034772107,237.4429855317883,232.94172997653553,236.35989379882812,39832000,0.0,0.0
2025-01-16,235.84318609247865,236.49898454969573,226.58234697208553,226.81088256835938,71759100,0.0,0.0
2025-01-17,230.64640281529265,230.81532176659897,227.02951162481844,228.51998901367188,68488300,0.0,0.0
2025-01-21,222.57794445660952,222.99527628303537,217.9872792040061,221.22657775878906,98070400,0.0,0.0
2025-01-22,218.39465138442915,222.6971640978084,218.39465138442915,222.4090118408203,64126500,0.0,0.0
2025-01-23,223.3132271476291,225.5886822440662,220.88871524000126,222.24008178710938,60234800,0.0,0.0
2025-01-24,223.35297985225768,224.19758968028435,220.00437919561992,221.3656768798828,54697900,0.0,0.0
2025-01-27,222.59779053134582,230.67616609083086,222.55803598473332,228.4007110595703,94863400,0.0,0.0
2025-01-28,229.3844597561093,238.66516132615985,229.3447052045828,236.74740600585938,75707600,0.0,0.0
2025-01-29,232.63366934231402,238.33723404319062,232.52436707787834,237.8404083251953,45486100,0.0,0.0
2025-01-30,237.1548105184623,239.26134692510684,235.7040877651042,236.0816650390625,55658300,0.0,0.0
2025-01-31,245.62071750771995,245.62071750771995,231.95800933839706,234.5017547607422,100959800,0.0,0.0
2025-02-03,228.52991033796462,230.35822543026035,224.2671369795404,226.56246948242188,73063300,0.0,0.0
2025-02-04,225.80731341689966,231.64998934854387,225.21111642561868,231.32208251953125,45067300,0.0,0.0
2025-02-05,227.0791967098242,231.19291368703577,226.82085275464706,230.9941864013672,39620300,0.0,0.0
2025-02-06,229.8216550685821,232.31573010563136,228.96711414866223,231.73941040039062,29925300,0.0,0.0
2025-02-07,231.12332421282468,232.51443012315357,225.8172141561879,226.18487548828125,39707200,0.0,0.0
2025-02-10,228.36338248973718,229.378010419489,226.00582893863492,226.45346069335938,33115600,0.25,0.0
2025-02-11,227.00055734532324,233.99360582200345,226.93093316445223,231.39732360839844,53718400,0.0,0.0
2025-02-12,229.98480349517558,235.71453849328682,229.4675323792709,235.625,45243300,0.0,0.0
2025-02-13,235.66481592241834,241.06626881430705,234.33186254170715,240.26052856445312,53614100,0.0,0.0
2025-02-14,239.9819785190441,244.25938055012708,239.7233505557091,243.3143768310547,40896200,0.0,0.0
2025-02-18,242.86674847770814,243.8913336127375,240.56889220053384,243.18507385253906,48822500,0.0,0.0
2025-02-19,243.37407429304395,244.716969605811,241.88195827091008,243.5829620361328,32204200,0.0,0.0
2025-02-20,243.6525813389452,245.4829065325138,243.00598867544505,244.53790283203125,32316900,0.0,0.0
2025-02-21,244.6572756706751,247.38287960480025,243.93111682470231,244.25938415527344,53197400,0.0,0.0
2025-02-24,243.64264638435856,247.55199828948733,243.1353323966777,245.80125427246094,51326400,0.0,0.0
2025-02-25,246.69650753214344,248.68599549611233,243.62275227067275,245.74154663085938,48013300,0.0,0.0
2025-02-26,243.04581476744292,243.69239232640413,237.87314875998453,239.0966796875,44433600,0.0,0.0
2025-02-27,238.15166004001364,241.1856322165831,235.81400561415145,236.05274963378906,41153600,0.0,0.0
2025-02-28,235.70459571566596,240.8175794410065,228.9900734891547,240.5688934326172,56833400,0.0,0.0
2025-03-03,240.51914741730602,242.74737946323825,234.8690087281554,236.77891540527344,47184000,0.0,0.0
