Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02,117.3390887927296,118.4387076329985,116.89421021192403,118.43030548095703,10803700,0.0,0.0
2020-01-03,116.15783882531366,117.61931202449885,115.8030309735662,116.8674545288086,10386800,0.9,0.0
2020-01-06,115.36374028951579,116.80832709354864,115.31305529470504,116.77452850341797,10259000,0.0,0.0
2020-01-07,115.97198421037193,116.46196063658971,114.73860638781083,114.78929138183594,10531300,0.0,0.0
2020-01-08,114.63721634219726,116.22541480440921,114.55274565423159,115.68475341796875,9695300,0.0,0.0
2020-01-09,116.62249676832482,116.77455178307011,115.76925621762801,116.107177734375,9469000,0.0,0.0
2020-01-10,115.9129136556834,115.94669937170619,114.73020734862237,114.94985961914062,10190900,0.0,0.0
2020-01-13,115.05119890151266,115.90442657470703,114.68793487682214,115.90442657470703,12355200,0.0,0.0
2020-01-14,116.52955792507424,118.91184314270954,116.31836183281926,117.25607299804688,24906000,0.0,0.0
2020-01-15,116.45352706030666,117.08711531876233,115.0173833621649,115.49891662597656,16293400,0.0,0.0
2020-01-16,116.11560957007558,116.4957599601079,115.60029058657817,115.9466552734375,10783800,0.0,0.0
2020-01-17,116.19163812824256,116.8252264141958,116.00579742351869,116.74919891357422,14697700,0.0,0.0
2020-01-21,115.89595277458669,116.63936703601148,115.47356065157436,115.60027313232422,8474200,0.0,0.0
2020-01-22,115.93822379195085,116.07337950869403,115.2117086416063,115.46513366699219,7549100,0.0,0.0
2020-01-23,114.64569546204845,115.51582235421289,113.80935427377966,115.34685516357422,9345700,0.0,0.0
2020-01-24,115.2032388933349,115.25392389240491,111.78187255224552,112.4830322265625,15166400,0.0,0.0
2020-01-27,110.05007215482217,112.30564505348516,109.57699493283275,111.5368881225586,12860500,0.0,0.0
2020-01-28,112.22113484222695,114.02052939024172,111.91701200158197,113.56433868408203,13062800,0.0,0.0
2020-01-29,113.88540812592565,114.50209726520728,112.93925351328646,113.39543151855469,9326000,0.0,0.0
2020-01-30,112.09442996061257,115.00048999254923,112.09442996061257,114.79773712158203,9048900,0.0,0.0
2020-01-31,113.61506888804199,113.90229251636646,111.06381615963555,111.815673828125,12785200,0.0,0.0
2020-02-03,112.06909460936174,113.40385542497604,112.06909460936174,112.66888427734375,10021100,0.0,0.0
2020-02-04,114.51053813859198,115.39756441522026,114.11348840420017,114.29088592529297,9157100,0.0,0.0
2020-02-05,115.37221588057106,116.3521560234248,114.89912577148444,116.23388671875,10150700,0.0,0.0
2020-02-06,116.78301947164832,116.82524838634481,115.82840881634799,116.25080108642578,8992300,0.0,0.0
2020-02-07,115.50740492444396,116.30150458086347,115.14415370183015,115.87911224365234,6379800,0.0,0.0
2020-02-10,115.6932164640798,116.45353012849014,115.52426216878409,116.36060333251953,5960700,0.0,0.0
2020-02-11,116.7998852728262,117.27297535976665,116.39439237440693,116.58024597167969,6578600,0.0,0.0
2020-02-12,117.0871217624939,117.67001216442736,116.41129167153723,116.58024597167969,7958000,0.0,0.0
2020-02-13,116.36905573463962,116.86747545679735,115.22859159306347,116.4788818359375,7447500,0.0,0.0
2020-02-14,116.44510147163254,116.74078122585757,115.68480051846743,116.12409210205078,6627600,0.0,0.0
2020-02-18,116.02266320759144,116.33524213856523,114.08811299010806,114.58653259277344,8996400,0.0,0.0
2020-02-19,115.65942235967478,116.90969952250659,115.17788911815482,116.14939880371094,7071200,0.0,0.0
2020-02-20,115.87906163856594,116.88435702457244,115.33840019866147,116.14939880371094,7422800,0.0,0.0
2020-02-21,115.35531632141432,115.66788243512114,113.97831357765742,114.73017120361328,9772800,0.0,0.0
2020-02-24,111.03845226092064,112.52526801257054,110.49779081574015,111.64669799804688,13618400,0.0,0.0
2020-02-25,110.66675166599181,111.70583282423452,106.09646516380276,106.6624755859375,20797200,0.0,0.0
2020-02-26,107.22848587298913,108.93494755252715,106.73005971747872,106.9834976196289,24825600,0.0,0.0
2020-02-27,103.83244755428532,106.12181236940829,102.47234423514247,102.53147888183594,23005500,0.0,0.0
2020-02-28,99.2790406768303,100.09848241778991,95.17339521539462,98.08789825439453,45931400,0.0,0.0
2020-03-02,98.52718572918042,102.70887167504725,96.69400543544265,102.6581802368164,27355400,0.0,0.0
2020-03-03,102.19357180903197,103.86624134298259,98.1977386864724,98.80598449707031,32547700,0.0,0.0
2020-03-04,99.96334412499878,101.53464369575975,96.89677248922635,101.2474136352539,25795900,0.0,0.0
2020-03-05,97.71622914470026,98.35826721913585,95.10584793099441,96.28009796142578,25025600,0.0,0.0
2020-03-06,89.76678356825545,93.1966058419524,88.71924637184546,91.30429077148438,38159400,0.0,0.0
2020-03-09,81.58084953457208,83.82797969099462,78.56496873450688,78.93667602539062,40352000,0.0,0.0
2020-03-10,83.633662677713,85.55977024148383,79.89971686056471,85.06979370117188,31102700,0.0,0.0
2020-03-11,82.5354211876462,84.5206693924128,79.87435587438335,81.06549835205078,38127000,0.0,0.0
2020-03-12,75.68423259003684,81.91029604423989,72.92179039092039,74.38327026367188,49725200,0.0,0.0
2020-03-13,81.09085744238303,87.84913303334352,77.72016929604575,87.78155517578125,38543300,0.0,0.0
2020-03-16,71.97562746432985,79.392839823977,71.42652276687465,74.64514923095703,38589700,0.0,0.0
2020-03-17,76.78245197663573,82.3157922576974,73.91863343681351,79.20698547363281,35239800,0.0,0.0
2020-03-18,74.06224925551773,76.69797899113337,67.8868771493327,70.86896514892578,41525600,0.0,0.0
2020-03-19,68.90061369852499,74.4339541043913,64.97237138915025,72.06011199951172,32175100,0.0,0.0
2020-03-20,72.90490415797451,75.5744197982751,69.67782765987027,70.53950500488281,30150800,0.0,0.0
2020-03-23,69.84676980819185,70.75068879831484,65.96920631837187,66.7633056640625,32536600,0.0,0.0
2020-03-24,71.72220409530665,76.11508084105223,70.0326351246054,74.70429229736328,34363200,0.0,0.0
2020-03-25,75.38857018283475,80.381249883947,71.41808544198385,77.4920883178711,38111700,0.0,0.0
2020-03-26,79.47732126566615,83.27040157769451,79.02113689691805,82.89025115966797,29826300,0.0,0.0
2020-03-27,78.72547480070841,80.119364161326,76.49524408948668,76.98521423339844,30041500,0.0,0.0
2020-03-30,76.57971593662772,79.48577022336842,75.4392581547979,78.98735046386719,21656900,0.0,0.0
2020-03-31,77.7624146235215,79.55335361143094,75.4730429914774,76.05594635009766,23379300,0.0,0.0
2020-04-01,71.89115276449763,73.12453724275669,70.32830287845948,71.2660140991211,28029600,0.0,0.0
2020-04-02,70.5479409396807,74.26499326684787,70.08330698183745,73.92707824707031,24018000,0.0,0.0
2020-04-03,73.40641134171862,74.6696873324883,70.64940023643723,71.7419662475586,21199400,0.9,0.0
2020-04-06,75.95855799062883,77.66568373091506,74.85746110668407,76.35973358154297,26820800,0.0,0.0
2020-04-07,80.61900808470259,80.66168883180872,77.14500756693045,77.36693572998047,22563800,0.0,0.0
2020-04-08,78.61313981547089,80.96897518377929,77.2901212609611,80.49098205566406,22903300,0.0,0.0
2020-04-09,82.72731683488601,89.10343290398536,82.70171098917369,87.71212768554688,42055900,0.0,0.0
2020-04-13,88.01089212669729,88.01089212669729,83.05169257904028,83.81136322021484,26911900,0.0,0.0
2020-04-14,86.2269232380082,87.06341776423429,79.92763123827065,81.5152587890625,46151300,0.0,0.0
2020-04-15,77.80227069644442,78.55340381083185,76.93163276787561,77.49498748779297,30118600,0.0,0.0
2020-04-16,77.01699043484916,77.30719872177143,74.3026599020473,74.54165649414062,32449600,0.0,0.0
2020-04-17,78.52780324338241,81.68598402982457,77.64009686004036,81.24213409423828,30191900,0.0,0.0
2020-04-20,78.92895246563872,80.84093129746135,77.21328942928042,78.28024291992188,23679400,0.0,0.0
2020-04-21,75.64274097392695,77.99856971574116,75.39520696968904,76.00977325439453,23035000,0.0,0.0
2020-04-22,77.40963186866213,78.41683648625582,76.12074989336377,76.25731658935547,16662400,0.0,0.0
2020-04-23,76.5987258489424,77.91321337672986,76.18901934105676,76.29998016357422,16638800,0.0,0.0
2020-04-24,77.36694000599896,77.75957815483896,75.53177848585804,77.42668914794922,15809200,0.0,0.0
2020-04-27,78.47658064484439,81.62622353971427,78.13515415832997,80.76412963867188,22870200,0.0,0.0
2020-04-28,83.48698171839504,83.95644389888082,81.11407799630588,81.33600616455078,20238900,0.0,0.0
2020-04-29,84.57101083061536,84.88682492513158,83.02605760566651,83.5296630859375,20462600,0.0,0.0
2020-04-30,81.60062466483451,82.65904100250887,80.70438738734904,81.73719787597656,19127600,0.0,0.0
2020-05-01,79.80813255003247,80.01298582621902,78.39121498533552,79.59474182128906,18547700,0.0,0.0
2020-05-04,78.54487842692916,79.09969577848275,77.50353685111214,78.64730834960938,15725900,0.0,0.0
2020-05-05,79.93618186499225,80.41417509465954,78.44244651011262,78.52780151367188,18064100,0.0,0.0
2020-05-06,78.66436453822635,79.17650100540455,76.76091629581471,77.0511245727539,20978000,0.0,0.0
2020-05-07,77.96443067914447,79.30453065836929,77.3157275762283,77.85346984863281,16771900,0.0,0.0
2020-05-08,79.21063615408957,80.30319557489061,78.62167569574582,79.12527465820312,20487800,0.0,0.0
2020-05-11,77.76811271436878,77.76811271436878,76.24877186514843,76.79505157470703,31907600,0.0,0.0
2020-05-12,76.94869437740135,77.49497409567338,74.17461503748294,74.28557586669922,27962900,0.0,0.0
2020-05-13,73.7307632371803,74.14047630720151,71.1871493633526,71.72489166259766,35451600,0.0,0.0
2020-05-14,70.6067358414109,75.20744011455136,70.33359592859219,74.7038345336914,35152500,0.0,0.0
2020-05-15,74.1319655359013,74.498997986837,72.80894643112057,73.32108306884766,26099000,0.0,0.0
2020-05-18,75.70250671509278,77.80227097357779,75.01111623707973,77.20477294921875,30504400,0.0,0.0
2020-05-19,76.86335358524529,77.84494586165584,75.61714582864694,75.68543243408203,19597300,0.0,0.0
2020-05-20,77.42668317365536,78.86066898198237,77.13647493862335,77.95589447021484,20552400,0.0,0.0
2020-05-21,77.05112189627496,78.32293533539423,76.53898544688656,76.96576690673828,14621400,0.0,0.0
2020-05-22,76.82921095528171,77.12795671646477,75.72811385363346,76.3682861328125,13557900,0.0,0.0
2020-05-26,79.28745912632111,83.22238470891614,79.04846255064243,81.78839874267578,41233900,0.0,0.0
2020-05-27,87.12316433355416,87.55848323291852,84.33201653541724,86.52567291259766,39402000,0.0,0.0
2020-05-28,87.86575313918098,87.87428407807322,84.84414016872037,85.23677825927734,24713900,0.0,0.0
2020-05-29,84.21251093948214,84.65636074048861,82.60780867023897,83.06019592285156,26526400,0.0,0.0
2020-06-01,83.435781060051,84.93805372402795,83.11996041395957,84.16130828857422,15176800,0.0,0.0
2020-06-02,85.5952865171273,85.71478480207998,83.58941500580121,84.44297790527344,21195000,0.0,0.0
2020-06-03,86.70491971064347,89.5558166302192,86.26106336214778,89.0009994506836,25941100,0.0,0.0
2020-06-04,88.61688884751354,90.99832981979735,87.73772021327807,90.85322570800781,26784700,0.0,0.0
2020-06-05,98.09999882830343,98.81698864422653,93.49075718595653,94.94181823730469,42231000,0.0,0.0
2020-06-08,96.80257128367238,97.46834930144782,95.54783278301802,96.83670806884766,24881800,0.0,0.0
2020-06-09,94.44674431572983,95.2832323829057,93.0469015602297,94.35285186767578,17031100,0.0,0.0
2020-06-10,94.28457908246222,94.3272598422567,90.34965267725286,90.52890014648438,24913300,0.0,0.0
2020-06-11,85.38190077203755,86.7049259482503,82.40296790254455,82.974853515625,36259200,0.0,0.0
2020-06-12,85.96230514739752,86.32079994521736,83.07726535058474,85.24531555175781,24856800,0.0,0.0
2020-06-15,82.30053769850898,86.57688988179751,81.8310819854638,86.42324829101562,22153600,0.0,0.0
2020-06-16,89.93992941511169,90.20453184286178,84.76733356566766,87.11463165283203,22193600,0.0,0.0
2020-06-17,87.51581601993395,87.52435347360188,84.68198703390316,84.9124526977539,15639800,0.0,0.0
2020-06-18,84.22104195994454,85.80013187588845,83.76011725528238,84.45150756835938,16591900,0.0,0.0
2020-06-19,85.80866067438865,85.86840980532884,82.56512618994427,83.48696899414062,40371200,0.0,0.0
2020-06-22,83.00899582500607,83.60648727749093,82.4029669197233,82.58221435546875,16216900,0.0,0.0
2020-06-23,84.47713042714464,85.33069341982119,83.52113753096614,83.58942413330078,15381400,0.0,0.0
2020-06-24,82.58222239917932,82.65903994533741,80.4995265410837,80.79827880859375,22919800,0.0,0.0
2020-06-25,80.53366551576681,83.82841912543404,80.45684797373669,83.61502838134766,25743600,0.0,0.0
2020-06-26,81.1823773629792,81.40430556614594,78.52779591488301,79.0313949584961,41896300,0.0,0.0
2020-06-29,79.72278943431178,80.65317002435651,78.68144148100613,79.38136291503906,18499700,0.0,0.0
2020-06-30,79.23623139198789,80.79825278241194,79.01430325429095,80.2861099243164,19137000,0.0,0.0
2020-07-01,80.99456879251613,81.69448998673555,79.40694155720944,79.60326385498047,18755700,0.0,0.0
2020-07-02,81.65455329087266,81.84416804498942,79.23267129204308,79.86184692382812,27845600,0.9,0.0
2020-07-06,81.38738281612567,82.05102796442439,80.56859890157662,81.87865447998047,18625300,0.0,0.0
2020-07-07,80.8616302919729,81.10295578597582,79.29300800532735,79.56880950927734,25757200,0.0,0.0
2020-07-08,79.5429736549261,80.44794447939582,79.12065393684023,80.4134750366211,18762200,0.0,0.0
2020-07-09,80.60306540719134,81.12019899297371,78.24151456291686,78.67245483398438,25600800,0.0,0.0
2020-07-10,79.2930018074541,83.46450005058924,79.18095971560372,82.97322845458984,28954200,0.0,0.0
2020-07-13,85.09346836188656,85.55887806559187,82.93876701810528,84.16263580322266,32079200,0.0,0.0
2020-07-14,84.78319060197043,86.14495684990332,83.29213438302521,84.6452865600586,42731700,0.0,0.0
2020-07-15,86.95513083256573,87.29988437827339,85.0245201824805,85.95535278320312,22508400,0.0,0.0
2020-07-16,85.1365546253524,87.23954514677276,84.93832579296522,86.19667053222656,16886900,0.0,0.0
2020-07-17,86.18806052652769,86.25701255309943,84.5849620746841,84.60220336914062,16137700,0.0,0.0
2020-07-20,83.97301927315466,84.80042378275263,83.82650116299833,83.86097717285156,14458100,0.0,0.0
2020-07-21,84.21432676742823,86.23113017121976,84.1539954069863,85.67952728271484,17798100,0.0,0.0
2020-07-22,85.88638728362612,86.30008621306567,84.05919838099464,85.0589828491211,14271200,0.0,0.0
2020-07-23,84.89523152837548,85.62782865791128,84.43843590321644,85.3089370727539,12870200,0.0,0.0
2020-07-24,85.84330188049486,86.01568193670552,84.41258357989379,84.70561981201172,12744200,0.0,0.0
2020-07-27,84.04196003587307,84.14538147595347,82.8870368751787,83.5162124633789,11959100,0.0,0.0
2020-07-28,83.17146264634471,84.36947593457877,83.17146264634471,83.87820434570312,11754300,0.0,0.0
2020-07-29,83.66274554978213,85.93810969815057,83.60241417371277,85.9122543334961,12743500,0.0,0.0
2020-07-30,84.06781804218629,84.24019149816337,82.78361804096727,83.61963653564453,14834800,0.0,0.0
2020-07-31,83.15425490866335,83.54209860311074,82.0941387278774,83.29215240478516,14535000,0.0,0.0
2020-08-03,83.61963433019983,84.09367118507298,82.61123583051588,82.82670593261719,12962800,0.0,0.0
2020-08-04,82.66296152559846,82.69743095888643,81.90450248073653,82.3526840209961,13366200,0.0,0.0
2020-08-05,82.62847726686233,84.86936501754565,82.49919389024825,83.78339385986328,15260900,0.0,0.0
2020-08-06,84.10230029500131,84.55047525920433,83.20594379096893,83.80925750732422,10482100,0.0,0.0
2020-08-07,83.54207436902972,85.74848627196205,83.22317622733591,85.65367889404297,14743700,0.0,0.0
2020-08-10,86.28285891996855,87.9462885776621,86.21390690058841,86.73965454101562,14989900,0.0,0.0
2020-08-11,89.51489897874976,91.49722653140718,89.21324215350857,89.48042297363281,31518600,0.0,0.0
2020-08-12,91.497217649155,91.7299224415721,87.66184629144765,88.72196197509766,19240800,0.0,0.0
2020-08-13,87.91179191943026,89.08394967107266,87.60151448072345,88.2306900024414,13598600,0.0,0.0
2020-08-14,87.48086054590733,89.04086196474253,87.41190853579982,88.26517486572266,12134400,0.0,0.0
2020-08-17,87.48086958571032,87.91180982997491,85.78296397120766,85.93810272216797,14988000,0.0,0.0
2020-08-18,86.11046730780654,86.11046730780654,84.56770072120179,84.74007415771484,13246500,0.0,0.0
2020-08-19,85.25720788592186,86.69654658077009,84.75731567403574,84.93831634521484,13533000,0.0,0.0
2020-08-20,83.8265106602681,84.49015584215867,83.43004636547762,83.92131805419922,13672600,0.0,0.0
2020-08-21,83.8351076933562,84.95555489811692,83.55069214499467,83.87820434570312,12228300,0.0,0.0
